time,power_link_1,power_link_2,power_link_3,power_link_4,power_link_5,power_link_6
126.30280000194576,,,,,,
126.31280000194609,8.156630584727384e-54,0.0,0.0,0.0,0.0,0.0
126.32280000194642,0.0,0.0,0.0,0.0,0.0,0.0
126.33280000194677,8.156630584715792e-54,0.0,0.0,0.0,0.0,0.0
126.34280000194708,0.0,0.0,0.0,0.0,0.0,0.0
126.3528000019474,8.156630584738975e-54,0.0,0.0,0.0,0.0,0.0
126.36280000194776,0.0,0.0,0.0,0.0,0.0,0.0
126.37280000194808,8.156630584738975e-54,0.0,0.0,0.0,0.0,0.0
126.3828000019484,0.0,0.0,0.0,0.0,0.0,0.0
126.39280000194874,8.156630584715792e-54,0.0,0.0,0.0,0.0,0.0
126.40280000194907,0.0,0.0,0.0,0.0,0.0,0.0
126.4128000019494,8.156630584727384e-54,0.0,0.0,0.0,0.0,0.0
126.42280000194974,0.0,0.0,0.0,0.0,0.0,0.0
126.43280000195008,8.156630584715792e-54,0.0,0.0,0.0,0.0,0.0
126.4428000019504,8.156630584738975e-54,0.0,0.0,0.0,0.0,0.0
126.45280000195072,0.0,0.0,0.0,0.0,0.0,0.0
126.46280000195108,8.156630584704201e-54,0.0,0.0,0.0,0.0,0.0
126.4728000019514,0.0,0.0,0.0,0.0,0.0,0.0
126.48280000195172,8.156630584738975e-54,0.0,0.0,0.0,0.0,0.0
126.49280000195206,0.0,0.0,0.0,0.0,0.0,0.0
126.5028000019524,8.156630584727384e-54,0.0,0.0,0.0,0.0,0.0
126.51280000195273,0.0,0.0,0.0,0.0,0.0,0.0
126.52280000195306,8.156630584727384e-54,0.0,0.0,0.0,0.0,0.0
126.5328000019534,0.0,0.0,0.0,0.0,0.0,0.0
126.54280000195372,8.156630584738975e-54,0.0,0.0,0.0,0.0,0.0
126.55280000195404,0.0,0.0,0.0,0.0,0.0,0.0
126.5628000019544,8.156630584704201e-54,0.0,0.0,0.0,0.0,0.0
126.57280000195472,0.0,0.0,0.0,0.0,0.0,0.0
126.58280000195504,8.156630584738975e-54,0.0,0.0,0.0,0.0,0.0
126.59280000195538,0.0,0.0,0.0,0.0,0.0,0.0
126.60280000195571,8.156630584727384e-54,0.0,0.0,0.0,0.0,0.0
126.61280000195605,0.0,0.0,0.0,0.0,0.0,0.0
126.62280000195638,8.156630584727384e-54,0.0,0.0,0.0,0.0,0.0
126.63280000195672,8.156630584715792e-54,0.0,0.0,0.0,0.0,0.0
126.64280000195704,0.0,0.0,0.0,0.0,0.0,0.0
126.65280000195736,8.156630584738975e-54,0.0,0.0,0.0,0.0,0.0
126.6628000019577,0.0,0.0,0.0,0.0,0.0,0.0
126.67280000195804,8.156630584727384e-54,0.0,0.0,0.0,0.0,0.0
126.68280000195836,0.0,0.0,0.0,0.0,0.0,0.0
126.6928000019587,8.156630584715792e-54,0.0,0.0,0.0,0.0,0.0
126.70280000195903,0.0,0.0,0.0,0.0,0.0,0.0
126.71280000195937,8.156630584727384e-54,0.0,0.0,0.0,0.0,0.0
126.7228000019597,0.0,0.0,0.0,0.0,0.0,0.0
126.73280000196004,8.156630584715792e-54,0.0,0.0,0.0,0.0,0.0
126.74280000196036,0.0,0.0,0.0,0.0,0.0,0.0
126.7528000019607,8.156630584727384e-54,0.0,0.0,0.0,0.0,0.0
126.76280000196104,0.0,0.0,0.0,0.0,0.0,0.0
126.77280000196136,8.156630584738975e-54,0.0,0.0,0.0,0.0,0.0
126.78280000196168,0.0,0.0,0.0,0.0,0.0,0.0
126.79280000196202,8.156630584715792e-54,0.0,0.0,0.0,0.0,0.0
126.80280000196235,0.0,0.0,0.0,0.0,0.0,0.0
126.81280000196269,8.156630584727384e-54,0.0,0.0,0.0,0.0,0.0
126.82280000196302,8.156630584727384e-54,0.0,0.0,0.0,0.0,0.0
126.83280000196336,0.0,0.0,0.0,0.0,0.0,0.0
126.84280000196368,8.156630584738975e-54,0.0,0.0,0.0,0.0,0.0
126.852800001964,0.0,0.0,0.0,0.0,0.0,0.0
126.86280000196436,8.156630584704201e-54,0.0,0.0,0.0,0.0,0.0
126.87280000196468,0.0,0.0,0.0,0.0,0.0,0.0
126.882800001965,8.156630584738975e-54,0.0,0.0,0.0,0.0,0.0
126.89280000196534,0.0,0.0,0.0,0.0,0.0,0.0
126.90280000196567,8.156630584727384e-54,0.0,0.0,0.0,0.0,0.0
126.912800001966,0.0,0.0,0.0,0.0,0.0,0.0
126.92280000196634,8.156630584727384e-54,0.0,0.0,0.0,0.0,0.0
126.93280000196668,0.0,0.0,0.0,0.0,0.0,0.0
126.942800001967,8.156630584738975e-54,0.0,0.0,0.0,0.0,0.0
126.95280000196732,0.0,0.0,0.0,0.0,0.0,0.0
126.96280000196766,8.156630584715792e-54,0.0,0.0,0.0,0.0,0.0
126.972800001968,0.0,0.0,0.0,0.0,0.0,0.0
126.98280000196831,8.156630584738975e-54,0.0,0.0,0.0,0.0,0.0
126.99280000196866,0.0,0.0,0.0,0.0,0.0,0.0
127.002800001969,8.156630584715792e-54,0.0,0.0,0.0,0.0,0.0
127.01280000196932,8.156630584738975e-54,0.0,0.0,0.0,0.0,0.0
127.02280000196966,0.0,0.0,0.0,0.0,0.0,0.0
127.03280000197,8.156630584715792e-54,0.0,0.0,0.0,0.0,0.0
127.04280000197032,0.0,0.0,0.0,0.0,0.0,0.0
127.05280000197064,8.156630584738975e-54,0.0,0.0,0.0,0.0,0.0
127.06280000197098,0.0,0.0,0.0,0.0,0.0,0.0
127.07280000197132,8.156630584727384e-54,0.0,0.0,0.0,0.0,0.0
127.08280000197163,0.0,0.0,0.0,0.0,0.0,0.0
127.09280000197198,8.156630584715792e-54,0.0,0.0,0.0,0.0,0.0
127.10280000197233,0.0,0.0,0.0,0.0,0.0,0.0
127.11280000197264,8.156630584738975e-54,0.0,0.0,0.0,0.0,0.0
127.12280000197298,0.0,0.0,0.0,0.0,0.0,0.0
127.13280000197332,8.156630584715792e-54,0.0,0.0,0.0,0.0,0.0
127.14280000197364,0.0,0.0,0.0,0.0,0.0,0.0
127.15280000197396,8.156630584738975e-54,0.0,0.0,0.0,0.0,0.0
127.1628000019743,0.0,0.0,0.0,0.0,0.0,0.0
127.17280000197464,8.156630584727384e-54,0.0,0.0,0.0,0.0,0.0
127.18280000197495,0.0,0.0,0.0,0.0,0.0,0.0
127.1928000019753,8.156630584715792e-54,0.0,0.0,0.0,0.0,0.0
127.20280000197565,8.156630584715792e-54,0.0,0.0,0.0,0.0,0.0
127.21280000197596,0.0,0.0,0.0,0.0,0.0,0.0
127.2228000019763,8.156630584727384e-54,0.0,0.0,0.0,0.0,0.0
127.23280000197664,0.0,0.0,0.0,0.0,0.0,0.0
127.24280000197696,8.156630584738975e-54,0.0,0.0,0.0,0.0,0.0
127.25280000197728,0.0,0.0,0.0,0.0,0.0,0.0
127.26280000197762,8.156630584715792e-54,0.0,0.0,0.0,0.0,0.0
127.27280000197796,0.0,0.0,0.0,0.0,0.0,0.0
127.28280000197827,8.156630584738975e-54,0.0,0.0,0.0,0.0,0.0
127.29280000197862,0.0,0.0,0.0,0.0,0.0,0.0
127.30280000197897,8.156630584715792e-54,0.0,0.0,0.0,0.0,0.0
127.31280000197928,0.0,0.0,0.0,0.0,0.0,0.0
127.32280000197962,8.156630584727384e-54,0.0,0.0,0.0,0.0,0.0
127.33280000197996,0.0,0.0,0.0,0.0,0.0,0.0
127.34280000198028,8.156630584738975e-54,0.0,0.0,0.0,0.0,0.0
127.3528000019806,0.0,0.0,0.0,0.0,0.0,0.0
