energy_link_1,time,energy_link_2,energy_link_3,energy_link_4,energy_link_5,energy_link_6
1.0621700171559519e-40,126.30280000194576,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559527e-40,126.31280000194609,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559527e-40,126.32280000194642,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559519e-40,126.33280000194677,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559519e-40,126.34280000194708,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559527e-40,126.3528000019474,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559527e-40,126.36280000194776,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559519e-40,126.37280000194808,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559519e-40,126.3828000019484,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559527e-40,126.39280000194874,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559527e-40,126.40280000194907,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559519e-40,126.4128000019494,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559519e-40,126.42280000194974,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559527e-40,126.43280000195008,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559519e-40,126.4428000019504,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559519e-40,126.45280000195072,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559527e-40,126.46280000195108,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559527e-40,126.4728000019514,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559519e-40,126.48280000195172,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559519e-40,126.49280000195206,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559527e-40,126.5028000019524,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559527e-40,126.51280000195273,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559519e-40,126.52280000195306,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559519e-40,126.5328000019534,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559527e-40,126.54280000195372,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559527e-40,126.55280000195404,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559519e-40,126.5628000019544,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559519e-40,126.57280000195472,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559527e-40,126.58280000195504,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559527e-40,126.59280000195538,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559519e-40,126.60280000195571,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559519e-40,126.61280000195605,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559527e-40,126.62280000195638,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559519e-40,126.63280000195672,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559519e-40,126.64280000195704,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559527e-40,126.65280000195736,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559527e-40,126.6628000019577,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559519e-40,126.67280000195804,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559519e-40,126.68280000195836,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559527e-40,126.6928000019587,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559527e-40,126.70280000195903,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559519e-40,126.71280000195937,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
1.0621700171559519e-40,126.7228000019597,6.040419255910616e-38,7.183762027256632e-38,2.183167568753375e-37,1.4523018962379848e-36,3.173024407178618e-37
